subject_id,mean_power,delta_power,theta_power,alpha_power,beta_power,gamma_power
sub-020,2.5851805564866583e-12,2.0701588270882557e-11,3.9202139043179944e-12,2.4795945465870756e-12,5.523302034324416e-13,2.370477377203169e-13
sub-021,3.325695526793217e-13,1.1382692984185631e-12,4.1012369429058614e-13,4.1433224261700247e-13,2.406107293773483e-13,1.7937148205721793e-13
sub-022,2.19930209849655e-12,1.0510997134092023e-11,5.142873553081225e-12,3.76586152697089e-12,7.622129279604636e-13,2.3403188065577785e-13
sub-023,1.3510332734637268e-13,6.495050184453432e-13,1.581021441061236e-13,1.6162786119390334e-13,7.91861391606323e-14,5.609038619208692e-14
sub-024,7.127955081242968e-13,1.7670428082379993e-12,1.9264157600672026e-12,1.828637706008944e-12,2.7016407891046066e-13,1.0401479660542303e-13
sub-025,9.123491646626162e-14,4.947343469420378e-13,1.836027638401219e-13,5.880016377012859e-14,5.095603007012226e-14,2.1490873643367233e-14
sub-026,5.31295743807375e-13,3.4484899360330052e-12,9.795485965281049e-13,6.53575799540222e-13,1.5228659527923406e-13,7.776828351012369e-14
sub-027,6.094979409798707e-13,2.2546162312939585e-12,1.7463883953686803e-12,1.4440811756606791e-12,1.4524975899488135e-13,3.8161596459804354e-14
sub-028,3.279140005198567e-13,6.743344608742292e-13,5.916540133349638e-13,7.67919277424079e-13,2.2671859887396885e-13,6.853561440481839e-14
sub-029,2.737695052447481e-13,1.4228325748632116e-12,4.005441600922319e-13,3.0284676415984424e-13,1.6134080786902847e-13,6.230136789660982e-14
sub-030,9.260406207577001e-14,3.5847296880836266e-13,1.2587772351804614e-13,1.5727276461209026e-13,4.339418047428328e-14,5.149756484094878e-14
sub-031,1.91477430979782e-12,6.272243079731633e-12,8.020126462806913e-12,2.924318803222539e-12,4.771665643246846e-13,1.5914602658747984e-13
sub-032,5.541719579931635e-13,9.119472823761682e-13,1.5981655133070345e-12,1.567654272713757e-12,2.3356111894972055e-13,6.250899475528785e-14
sub-033,5.722397559839385e-13,1.5958438120726737e-12,1.0039013668680197e-12,8.769860254063948e-13,4.1810124281363464e-13,2.075092999758718e-13
sub-034,2.847964972535523e-13,9.68168814708552e-13,4.407812020490546e-13,3.5775645496950614e-13,1.853343839973533e-13,1.5393073180122722e-13
sub-035,9.073586425824265e-14,4.2932625428419054e-13,1.8243249378949438e-13,6.51518797170722e-14,5.895668430471962e-14,2.2438213998395526e-14
sub-036,2.7045265314758736e-13,1.851488586773079e-12,3.6817886797478117e-13,1.8873307057297235e-13,9.729519381335552e-14,1.0284107479119494e-13
sub-037,4.931119616065616e-13,3.3096399700656528e-12,9.608257990797229e-13,3.9183512108167254e-13,1.4734742441959878e-13,1.2000974735884006e-13
sub-038,4.995631863505988e-13,2.0846495300462264e-12,1.1206623144405059e-12,9.90372878177513e-13,1.8651753872214642e-13,6.869791767284206e-14
sub-039,1.166209946476423e-12,8.695744255307585e-12,2.8030291446349897e-12,6.657972716060646e-13,2.1966824418390718e-13,1.7295445267032746e-13
sub-040,4.163942538462193e-12,3.609363549479903e-11,1.0466308244503726e-11,1.6714616163767867e-12,2.989108780272645e-13,1.4040881068407108e-13
